title,address,available_from,price_per_month,surface_m2,bedrooms,link,status,available_from_date,available_from_note,is_available,is_new,is_active,date_scraped
Delflandplein 102,1062HV Amsterdam,,2039.0,80,3,https://ikwilhuren.nu/object/amsterdam-1062hv-102-delflandplein-76a6c75f0bccb705014901dd440eb9d6/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Heathrowstraat 290,1043CH Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1692.0,73,2,https://ikwilhuren.nu/object/amsterdam-1043ch-290-heathrowstraat-181ff1fb0e5ca1adacc909e82e1eee2e/,Verhuurd onder voorbehoud,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Andreasplein 24,1058GD Amsterdam,,3321.0,166,5,https://ikwilhuren.nu/object/amsterdam-1058gd-24-andreasplein-a368f324db9d3352ed58f30549105a26/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 89,1031KH Amsterdam,,1750.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-89-batteryparkstraat-7c6c78664426adca12f4b6ba5dd0925d/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 13,1031KH Amsterdam,,1650.0,65,1,https://ikwilhuren.nu/object/amsterdam-1031kh-13-batteryparkstraat-09004fda368aea225ab16255c91c4549/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 63,1031KH Amsterdam,,1675.0,65,1,https://ikwilhuren.nu/object/amsterdam-1031kh-63-batteryparkstraat-b9d0d658250614a11b1f90c213d6e08e/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 23,1031KH Amsterdam,,1675.0,65,1,https://ikwilhuren.nu/object/amsterdam-1031kh-23-batteryparkstraat-80e26a1dc202833e9fa7433dd5de730a/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 3,1031KH Amsterdam,,1650.0,65,1,https://ikwilhuren.nu/object/amsterdam-1031kh-3-batteryparkstraat-2be2d314027aace54ebcf9cac5c660ad/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 51,1031KH Amsterdam,,1900.0,75,2,https://ikwilhuren.nu/object/amsterdam-1031kh-51-batteryparkstraat-de3981b1a687de1158623aaf7ed7219c/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 65,1031KH Amsterdam,,1890.0,75,2,https://ikwilhuren.nu/object/amsterdam-1031kh-65-batteryparkstraat-0b295fb6339f7c28b94792e1d088127b/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 45,1031KH Amsterdam,,1890.0,75,2,https://ikwilhuren.nu/object/amsterdam-1031kh-45-batteryparkstraat-a5df1e8e5ea7302caed25c8ade9f9bfc/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 25,1031KH Amsterdam,,1890.0,75,2,https://ikwilhuren.nu/object/amsterdam-1031kh-25-batteryparkstraat-f139acbbb9ad29b929dffa9e5a4a93f8/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 49,1031KH Amsterdam,,1520.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-49-batteryparkstraat-c60fcbbe9f11773e42eb0789eca9b85d/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 29,1031KH Amsterdam,,1515.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-29-batteryparkstraat-1f513b82cdc04c0d1a564e987202be92/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 67,1031KH Amsterdam,,1525.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-67-batteryparkstraat-bbdd04acc3792f0913a29a911d4af00e/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 39,1031KH Amsterdam,,1795.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-39-batteryparkstraat-05b22f603e32d56d09b93395495b9729/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 47,1031KH Amsterdam,,1520.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-47-batteryparkstraat-ddf14f7973f48728f8c0cc3237701322/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Amstelvlietstraat 503,1096GG Amsterdam,,2337.0,102,2,https://ikwilhuren.nu/object/amsterdam-1096gg-503-amstelvlietstraat-83d7c08235fc6c79f4502afcc6a5290c/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Amstelvlietstraat 481,1096GG Amsterdam,,2064.0,86,2,https://ikwilhuren.nu/object/amsterdam-1096gg-481-amstelvlietstraat-a9ada8eecb9e1ee100c165df5d922956/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Bartholomeus Diazstraat 23 1,1057TA Amsterdam,,1864.0,51,1,https://ikwilhuren.nu/object/amsterdam-1057ta-23-1-bartholomeus-diazstraat-da7e29d82819aba9767565b5f3e23e9d/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Trompenburgstraat 8 P,1079TX Amsterdam,,2350.0,95,3,https://ikwilhuren.nu/object/amsterdam-1079tx-8-p-trompenburgstraat-46d7797490e501a2b2933bac28374bb7/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Borssenburgplein 7 2,1078TW Amsterdam,,2414.0,59,3,https://ikwilhuren.nu/object/amsterdam-1078tw-7-2-borssenburgplein-c5cf5b0a4796bf5eaf8c3f94aabe656a/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Wim Van Estlaan 9,1061MK Amsterdam,"31-07-2025
                                    
Externe link",1459.0,76,1,https://ikwilhuren.nu/object/amsterdam-1061mk-9-wim-van-estlaan-b9bd070f2c473fab9a63312c363707b2/,Te huur,31-07-2025,Externe link,True,False,True,2025-07-10 14:46:30.091865
Buikslotermeerplein 1884,1025XL Amsterdam,"16-08-2025
                                    
Direct inschrijven via deze site",1125.0,59,1,https://ikwilhuren.nu/object/amsterdam-1025xl-1884-buikslotermeerplein-dbfc67bd76718b19b16a3f359336ce0a/,Te huur,16-08-2025,Direct inschrijven via deze site,True,False,True,2025-07-10 14:46:30.091865
Kraanspoor 3 T9,1033 SC Amsterdam,"01-08-2025
                                    
Externe link
Nieuw",1425.0,57,2,https://wonenbijbouwinvest.nl/woningredirect/34414071,Te huur,01-08-2025,"Externe link
Nieuw",True,False,True,2025-07-10 14:46:30.091865
Molenwerf + PPL 150 8 B6,1014AG Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site
Nieuw",1800.0,99,2,https://ikwilhuren.nu/object/amsterdam-1014ag-8-b6-molenwerf-ppl-150-2f99408bb9c230524b1302c404cdbb98/,Te huur,01-08-2025,"Direct inschrijven via deze site
Nieuw",True,False,True,2025-07-10 14:46:30.091865
Heathrowstraat 62,1043CH Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site
Nieuw",1260.0,48,1,https://ikwilhuren.nu/object/amsterdam-1043ch-62-heathrowstraat-100fe09d29d04317628ddad9d0fc7d22/,Te huur,01-08-2025,"Direct inschrijven via deze site
Nieuw",True,False,True,2025-07-10 14:46:30.091865
Vrouwengelukhof 141,1061BS Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site
Nieuw",1522.0,68,2,https://ikwilhuren.nu/object/amsterdam-1061bs-141-vrouwengelukhof-464338975148df07bf486f296cb72cfe/,Te huur,01-08-2025,"Direct inschrijven via deze site
Nieuw",True,False,True,2025-07-10 14:46:30.091865
Pantograafstraat 84,1019XX Amsterdam,,3104.0,166,3,https://ikwilhuren.nu/object/amsterdam-1019xx-84-pantograafstraat-9799566e69449c58d113e2f5de5b9e3b/,Verhuurd,,,False,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 7,1031KH Amsterdam,,1510.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-7-batteryparkstraat-41760af47619ade05ce65075489c0041/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 59,1031KH Amsterdam,,1795.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-59-batteryparkstraat-ec4f5274a1c94b0b142cbd6bc2bbd036/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 17,1031KH Amsterdam,,1825.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-17-batteryparkstraat-09065682bc701ed2d15c42d9463fef02/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 57,1031KH Amsterdam,,1825.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-57-batteryparkstraat-c78c56b44fe0e0ef0f31e755a5d55f78/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Carolina MacGillavrylaan 587,1098XA Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1487.0,69,2,https://ikwilhuren.nu/object/amsterdam-1098xa-587-carolina-macgillavrylaan-0058e7976b4e689a1c389f8921511426/,Verhuurd onder voorbehoud,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Jan van Schaffelaarplantsoen 10,1061DN Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1524.0,72,1,https://ikwilhuren.nu/object/amsterdam-1061dn-10-jan-van-schaffelaarplantsoen-7e99265d0b17f9b7a214e14b80ce275e/,Verhuurd onder voorbehoud,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Eengezinswoning Koningin Wilhelminaplein 528,1062KS Amsterdam,,1789.0,97,2,https://ikwilhuren.nu/object/amsterdam-1062ks-528-koningin-wilhelminaplein-99708eeb5075c7792052dd5bd29e46de/,Verhuurd onder voorbehoud,,,False,False,True,2025-07-10 14:46:30.091865
George Gershwinlaan 466,1082MT Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site
Nieuw",2040.0,82,1,https://ikwilhuren.nu/object/amsterdam-1082mt-466-george-gershwinlaan-721f9b722ea27b78d88e9da276a5157e/,Verhuurd onder voorbehoud,01-08-2025,"Direct inschrijven via deze site
Nieuw",False,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 27,1031KH Amsterdam,,1515.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-27-batteryparkstraat-83136af47bb71c1164d8e4f455d31aa7/,Gereserveerd,,,False,False,True,2025-07-10 14:46:30.091865
Amstelvlietstraat 620,1096GG Amsterdam,,3000.0,148,3,https://ikwilhuren.nu/object/amsterdam-1096gg-620-amstelvlietstraat-f1b10ba98ac8d0be47ac8f1c34c6a019/,Gereserveerd,,,False,False,True,2025-07-10 14:46:30.091865
Zandstrooierstraat 101,1019XZ Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",2117.0,79,1,https://ikwilhuren.nu/object/amsterdam-1019xz-101-zandstrooierstraat-c6006893eaa024a1421419bcbf9cbb28/,Gereserveerd,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Wichersstraat 53,1051ML Amsterdam,"01-09-2025
                                    
Direct inschrijven via deze site",1723.0,74,2,https://ikwilhuren.nu/object/amsterdam-1051ml-53-wichersstraat-1efa8a9b67f2c7527fc4f2350c98a85c/,Gereserveerd,01-09-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Amstelvlietstraat 421,1096GG Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",2064.0,86,2,https://ikwilhuren.nu/object/amsterdam-1096gg-421-amstelvlietstraat-3499ee8afc7c4d720d473a20c8ee215f/,Gereserveerd,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Amstelvlietstraat 419,1096GG Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1951.0,81,1,https://ikwilhuren.nu/object/amsterdam-1096gg-419-amstelvlietstraat-136b4a05c57e27e09b2ff8b454d5a8ce/,Gereserveerd,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Molenwerf + PPL 249 4 D1,1014AG Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site
Nieuw",1630.0,83,2,https://ikwilhuren.nu/object/amsterdam-1014ag-4-d1-molenwerf-ppl-249-05c2ffd65b6e957174225e12ad3f6315/,Gereserveerd,01-08-2025,"Direct inschrijven via deze site
Nieuw",False,False,True,2025-07-10 14:46:30.091865
Kraanspoor 3 N11,1033 SC Amsterdam,"26-07-2025
                                    
Externe link",1406.0,65,2,https://wonenbijbouwinvest.nl/woningredirect/34414126,Te huur,26-07-2025,Externe link,True,False,True,2025-07-10 14:46:30.091865
Pontsteiger 177,1014 ZP Amsterdam,"28-07-2025
                                    
Externe link",3329.0,150,3,https://wonenbijbouwinvest.nl/woningredirect/34101545,Te huur,28-07-2025,Externe link,True,False,True,2025-07-10 14:46:30.091865
Pontsteiger 262,1014 ZP Amsterdam,"01-09-2025
                                    
Externe link",2842.0,115,2,https://wonenbijbouwinvest.nl/woningredirect/34101621,Te huur,01-09-2025,Externe link,True,False,True,2025-07-10 14:46:30.091865
Laan der Hesperiden 86,1076 DX Amsterdam,,3192.0,129,2,https://wonenbijbouwinvest.nl/woningredirect/34334636,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Haringbuisdijk 709,1086 VA Amsterdam,"19-07-2025
                                    
Externe link",1649.0,77,2,https://wonenbijbouwinvest.nl/woningredirect/34592853,Te huur,19-07-2025,Externe link,True,False,True,2025-07-10 14:46:30.091865
Hudsonstraat 132 2,1057SR Amsterdam,,2079.0,52,2,https://ikwilhuren.nu/object/amsterdam-1057sr-132-2-hudsonstraat-8a77d81d5f47006c1e46fe8f221db509/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Davisstraat 24 2,1057TK Amsterdam,,3250.0,85,3,https://ikwilhuren.nu/object/amsterdam-1057tk-24-2-davisstraat-6d0b474db2b7f94c36e61ecdaa84cc51/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Vechtstraat 120 3,1079JP Amsterdam,,2200.0,54,3,https://ikwilhuren.nu/object/amsterdam-1079jp-120-3-vechtstraat-04829e0dc4009edd036547368b2e2bf0/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Haarlemmermeerstraat 139 HS,1058JX Amsterdam,,2200.0,50,2,https://ikwilhuren.nu/object/amsterdam-1058jx-139-hs-haarlemmermeerstraat-99e12ca957d1b57262d44c0af62ac9ad/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 79,1031KH Amsterdam,,1795.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-79-batteryparkstraat-68a25219dc30fda32714e32325ac19c9/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 19,1031KH Amsterdam,,1795.0,73,1,https://ikwilhuren.nu/object/amsterdam-1031kh-19-batteryparkstraat-c57a9748a4dfe407959198dcd6b874f9/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 111,1031KH Amsterdam,,1980.0,60,1,https://ikwilhuren.nu/object/amsterdam-1031kh-111-batteryparkstraat-7ec3ac9087c8affc3b7860eac395ccbd/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 99,1031KH Amsterdam,,1500.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-99-batteryparkstraat-7ac5c8f40043af15b0abacfce17fc5ee/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 95,1031KH Amsterdam,,2200.0,60,1,https://ikwilhuren.nu/object/amsterdam-1031kh-95-batteryparkstraat-0a29b754237dd38c9a5f427c5c18f87d/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 41,1031KH Amsterdam,,1550.0,58,1,https://ikwilhuren.nu/object/amsterdam-1031kh-41-batteryparkstraat-d97d51050bf0e3370e8f928874884ec2/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Batteryparkstraat 1,1031KH Amsterdam,,2370.0,103,3,https://ikwilhuren.nu/object/amsterdam-1031kh-1-batteryparkstraat-f4311bc7162c587dee7eb93e8407a5a1/,Te huur,,,True,False,True,2025-07-10 14:46:30.091865
Elzenhagensingel 313,1022LA Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site",1863.0,97,2,https://ikwilhuren.nu/object/amsterdam-1022la-313-elzenhagensingel-46ff843c32dd21b1b3e0649ac5a40e2c/,Verhuurd onder voorbehoud,01-08-2025,Direct inschrijven via deze site,False,False,True,2025-07-10 14:46:30.091865
Plantage Muidergracht 99 C6,1018TN Amsterdam,,1615.0,83,2,https://ikwilhuren.nu/object/amsterdam-1018tn-99-c6-plantage-muidergracht-a1e5eb236334e07e21059d683a916df7/,Verhuurd,,,False,False,True,2025-07-10 14:46:30.091865
Molenwerf + PPL 248 4 C8,1014AG Amsterdam,"01-08-2025
                                    
Direct inschrijven via deze site
Nieuw",1775.0,93,2,https://ikwilhuren.nu/object/amsterdam-1014ag-4-c8-molenwerf-ppl-248-6fe4bd94ad22d687bdc887b38b1515f4/,Te huur,01-08-2025,"Direct inschrijven via deze site
Nieuw",True,True,False,
